"band_id","b_age_code","b_sex_code","banding_day","banding_month","banding_year","encounter_year","e_present_condition_code","l_d","encounter_month"
96897942,1,4,22,9,2000,2002,3,"unknown",1
96897944,2,4,4,10,2000,2002,3,"unknown",10
96897946,1,4,4,10,2000,2002,3,"unknown",10
96897949,2,5,4,10,2000,2002,3,"unknown",1
96897950,1,4,4,10,2000,2002,5,"dead",10
97888848,1,5,28,6,2002,2007,3,"unknown",1
97888849,1,5,28,6,2002,2006,3,"unknown",1
97888850,1,4,28,6,2002,2002,5,"dead",7
97888858,1,4,28,6,2002,2003,3,"unknown",1
97888859,1,5,28,6,2002,2002,5,"dead",10
97888861,1,4,28,6,2002,2006,3,"unknown",1
97888862,1,5,28,6,2002,2003,3,"unknown",1
97888866,1,5,28,6,2002,2003,3,"unknown",10
97888871,1,5,28,6,2002,2003,3,"unknown",1
97888874,1,5,28,6,2002,2003,3,"unknown",1
97888875,1,5,28,6,2002,2008,5,"dead",12
97888885,1,5,28,6,2002,2002,3,"unknown",10
97888886,1,4,28,6,2002,2004,3,"unknown",1
97888888,1,5,28,6,2002,2004,3,"unknown",1
97888889,1,5,28,6,2002,2004,3,"unknown",1
97888891,1,4,28,6,2002,2003,3,"unknown",1
97888894,1,5,28,6,2002,2005,3,"unknown",1
97888895,1,4,28,6,2002,2002,5,"dead",10
97888896,1,5,28,6,2002,2003,3,"unknown",10
97888897,1,4,28,6,2002,2002,3,"unknown",10
97888902,1,4,28,6,2002,2002,3,"unknown",10
97888905,1,5,28,6,2002,2005,4,"dead",2
97888906,1,4,28,6,2002,2002,5,"dead",7
97888907,1,5,28,6,2002,2006,3,"unknown",9
97888908,1,4,28,6,2002,2002,5,"dead",10
97888909,1,4,28,6,2002,2004,3,"unknown",1
97888912,1,4,28,6,2002,2005,3,"unknown",10
97888913,1,5,28,6,2002,2003,3,"unknown",1
97888914,1,4,28,6,2002,2006,3,"unknown",2
97888916,1,4,28,6,2002,2002,5,"dead",10
97888917,1,4,28,6,2002,2005,3,"unknown",2
97888919,1,4,28,6,2002,2007,3,"unknown",1
97888919,1,4,28,6,2002,2006,7,"alive",6
97888920,1,4,28,6,2002,2003,3,"unknown",1
97888925,1,4,28,6,2002,2002,3,"unknown",10
97888930,1,4,28,6,2002,2002,3,"unknown",10
97888934,1,5,28,6,2002,2002,5,"dead",10
97889371,1,5,20,6,2003,2003,5,"dead",10
97889375,1,4,20,6,2003,2004,3,"unknown",1
97889380,1,4,20,6,2003,2003,3,"unknown",10
97889234,1,5,23,6,2003,2003,5,"dead",10
97889239,1,5,23,6,2003,2006,3,"unknown",2
97889243,1,5,23,6,2003,2003,3,"unknown",10
97889244,1,5,23,6,2003,2003,3,"unknown",10
97889246,1,5,23,6,2003,2006,3,"unknown",9
97889251,1,5,23,6,2003,2004,3,"unknown",1
97889253,1,4,23,6,2003,2004,3,"unknown",1
97889254,1,5,23,6,2003,2003,3,"unknown",10
97889256,1,4,23,6,2003,2003,3,"unknown",10
97889257,1,4,23,6,2003,2006,3,"unknown",1
97889258,1,4,23,6,2003,2005,3,"unknown",1
97889259,1,4,23,6,2003,2004,5,"dead",1
97889262,1,5,23,6,2003,2006,3,"unknown",1
97889263,1,5,23,6,2003,2005,3,"unknown",2
97889279,1,5,23,6,2003,2004,3,"unknown",1
97889288,1,5,23,6,2003,2005,3,"unknown",1
97889289,1,4,23,6,2003,2004,3,"unknown",1
97889301,1,5,20,6,2003,2004,3,"unknown",1
97889303,1,5,20,6,2003,2004,5,"dead",1
97889304,1,4,20,6,2003,2004,5,"dead",5
97889306,1,5,20,6,2003,2011,13,"alive",6
97889310,1,4,20,6,2003,2004,3,"unknown",1
97889316,1,5,20,6,2003,2005,5,"dead",10
97889320,1,4,20,6,2003,2003,3,"unknown",10
97889324,1,5,20,6,2003,2004,3,"unknown",1
97889325,1,4,20,6,2003,2008,5,"dead",1
97889330,1,4,20,6,2003,2005,7,"alive",5
97889332,1,5,20,6,2003,2006,7,"alive",9
97889333,1,4,20,6,2003,2006,7,"alive",9
97889335,1,4,20,6,2003,2011,7,"alive",9
97889340,1,5,20,6,2003,2005,3,"unknown",10
97889341,1,5,20,6,2003,2012,4,"dead",9
97889343,1,5,20,6,2003,2004,3,"unknown",10
97889344,1,5,20,6,2003,2003,3,"unknown",10
97889347,1,4,20,6,2003,2006,3,"unknown",1
97889351,1,5,20,6,2003,2003,3,"unknown",10
97889356,1,5,20,6,2003,2005,5,"dead",1
97889358,1,5,20,6,2003,2005,5,"dead",1
97889359,1,5,20,6,2003,2011,5,"dead",12
97889362,4,4,20,6,2003,2005,3,"unknown",1
97889364,1,5,20,6,2003,2004,3,"unknown",1
97888771,1,5,28,6,2002,2006,3,"unknown",10
97888773,1,5,28,6,2002,2006,3,"unknown",3
97888775,1,4,28,6,2002,2003,3,"unknown",1
97888779,1,5,29,6,2004,2013,5,"dead",9
97888782,1,5,29,6,2004,2005,3,"unknown",1
97888783,1,5,29,6,2004,2006,3,"unknown",1
97889384,1,4,20,6,2003,2004,5,"dead",1
97889385,1,4,20,6,2003,2003,5,"dead",10
97889391,1,4,1,7,2004,2004,7,"alive",10
97889391,1,4,1,7,2004,2004,7,"alive",10
97889393,1,4,1,7,2004,2005,7,"alive",8
97889398,1,5,1,7,2004,2004,7,"alive",10
97889398,1,5,1,7,2004,2006,3,"unknown",3
97889403,1,5,20,6,2003,2006,3,"unknown",10
97889404,1,4,20,6,2003,2004,3,"unknown",1
97889408,1,4,20,6,2003,2004,5,"dead",1
97889409,1,5,20,6,2003,2006,3,"unknown",10
97889410,1,5,20,6,2003,2003,3,"unknown",10
97889411,1,5,20,6,2003,2003,3,"unknown",10
97889413,1,4,20,6,2003,2003,5,"dead",10
97889415,1,5,20,6,2003,2010,5,"dead",9
97889451,1,4,20,6,2003,2005,5,"dead",1
97889457,1,4,20,6,2003,2005,3,"unknown",1
97889458,1,4,20,6,2003,2009,5,"dead",1
97889459,1,4,20,6,2003,2003,5,"dead",10
97889462,1,5,20,6,2003,2009,5,"dead",9
97889464,1,5,20,6,2003,2010,5,"dead",1
97889465,1,4,20,6,2003,2005,3,"unknown",2
97889467,1,5,20,6,2003,2008,5,"dead",1
97889467,1,5,20,6,2003,2006,7,"alive",4
97889474,1,4,20,6,2003,2005,3,"unknown",1
97889479,1,5,20,6,2003,2007,5,"dead",1
97889480,4,5,20,6,2003,2003,5,"dead",10
97889483,1,5,20,6,2003,2013,5,"dead",1
97889488,1,4,20,6,2003,2003,3,"unknown",10
97889489,1,5,20,6,2003,2007,5,"dead",1
97889492,1,5,20,6,2003,2009,5,"dead",9
97889498,1,4,20,6,2003,2005,3,"unknown",1
97889501,1,4,23,6,2003,2004,3,"unknown",1
97889511,1,5,23,6,2003,2005,3,"unknown",2
97889513,1,4,23,6,2003,2007,3,"unknown",1
97889520,4,5,24,6,2003,2006,3,"unknown",9
97889526,1,5,24,6,2003,2005,3,"unknown",1
97889527,1,4,24,6,2003,2009,5,"dead",1
97889422,1,5,20,6,2003,2006,3,"unknown",10
97889423,1,5,20,6,2003,2005,3,"unknown",1
97889426,1,5,20,6,2003,2003,3,"unknown",12
97889430,1,4,20,6,2003,2004,3,"unknown",1
97889431,1,4,20,6,2003,2005,3,"unknown",1
97889433,1,5,20,6,2003,2009,5,"dead",1
97889437,1,5,20,6,2003,2005,7,"alive",6
97889439,1,5,20,6,2003,2005,5,"dead",1
97889443,1,4,20,6,2003,2004,5,"dead",1
97889446,1,5,20,6,2003,2005,3,"unknown",2
97889448,1,4,20,6,2003,2005,3,"unknown",10
97888938,1,4,28,6,2002,2005,3,"unknown",1
97888939,1,5,28,6,2002,2007,3,"unknown",9
97888940,1,4,28,6,2002,2003,5,"dead",1
97888946,1,4,28,6,2002,2005,5,"dead",1
97888948,1,4,28,6,2002,2009,5,"dead",9
97888949,1,4,28,6,2002,2004,3,"unknown",1
97888950,1,4,28,6,2002,2003,3,"unknown",10
97888951,1,5,28,6,2002,2002,3,"unknown",10
