"band_id","age","sex","2005","2006","2007","2008","2009","2010","2011","NA","cap"
97889458,1,4,0,0,0,1,0,0,0,0,"0001000"
97889462,1,5,0,0,0,0,1,0,0,0,"0000100"
97889464,1,5,0,0,0,0,1,0,0,0,"0000100"
97889467,1,5,1,0,1,0,0,0,0,0,"1010000"
97889479,1,5,0,1,0,0,0,0,0,0,"0100000"
97889489,1,5,0,1,0,0,0,0,0,0,"0100000"
97889492,1,5,0,0,0,0,1,0,0,0,"0000100"
97889513,1,4,0,1,0,0,0,0,0,0,"0100000"
97889520,4,5,0,1,0,0,0,0,0,0,"0100000"
97889527,1,4,0,0,0,1,0,0,0,0,"0001000"
97889549,4,4,1,0,0,0,0,0,0,0,"1000000"
97889554,1,5,0,0,0,0,1,0,0,0,"0000100"
97889567,1,4,0,1,0,0,0,0,0,0,"0100000"
97889598,1,5,0,1,0,0,0,0,0,0,"0100000"
97889625,1,5,0,0,1,0,0,0,0,0,"0010000"
97889646,1,5,0,0,1,0,0,0,0,0,"0010000"
97889651,1,4,0,1,0,0,0,0,0,0,"0100000"
97889652,1,5,0,0,1,0,0,0,0,0,"0010000"
97889653,1,4,1,0,0,0,0,0,0,0,"1000000"
97889664,1,4,0,0,0,1,0,0,0,0,"0001000"
97889676,1,4,1,0,0,0,0,0,0,0,"1000000"
97889682,1,4,1,0,0,0,0,0,0,0,"1000000"
97889683,1,5,0,0,0,0,1,0,0,0,"0000100"
97889692,1,4,1,0,0,0,0,0,0,0,"1000000"
97889698,1,5,0,1,0,0,0,0,0,0,"0100000"
97889707,4,5,1,0,0,0,0,0,0,0,"1000000"
97889739,4,5,1,0,0,0,0,0,0,0,"1000000"
97889749,1,4,0,0,0,1,0,0,0,0,"0001000"
97889762,1,5,0,1,0,0,0,0,0,0,"0100000"
97889771,1,5,1,0,0,0,0,0,0,0,"1000000"
97889774,1,5,0,1,0,0,0,0,0,0,"0100000"
97889775,1,4,0,0,0,1,0,0,0,0,"0001000"
97889788,1,5,1,0,0,0,0,0,0,0,"1000000"
97889789,1,4,0,0,0,0,1,0,0,0,"0000100"
97889796,1,4,1,0,0,0,0,0,0,0,"1000000"
97889799,1,4,0,0,0,1,0,0,0,0,"0001000"
97889808,1,5,1,0,0,0,0,0,0,0,"1000000"
97889815,1,5,1,0,0,0,0,0,0,0,"1000000"
97889822,1,5,0,0,1,0,0,0,0,0,"0010000"
97889837,1,5,0,0,1,0,0,0,0,0,"0010000"
97889843,1,4,0,1,0,0,0,0,0,0,"0100000"
97889846,1,4,1,0,0,0,0,0,0,0,"1000000"
97889873,1,4,0,0,0,1,0,0,0,0,"0001000"
97889881,1,4,0,0,0,0,1,0,0,0,"0000100"
97889883,1,5,0,0,1,0,0,0,0,0,"0010000"
97889888,1,5,0,0,0,0,0,0,1,0,"0000001"
97889890,1,5,0,0,0,1,0,0,0,0,"0001000"
97889893,1,5,0,1,0,0,0,0,0,0,"0100000"
97889903,1,4,0,0,1,0,0,0,0,0,"0010000"
97889905,1,5,0,1,0,0,0,0,0,0,"0100000"
97889906,1,4,0,0,1,0,0,0,0,0,"0010000"
97889923,1,4,0,0,0,0,1,0,0,0,"0000100"
97889928,1,4,0,0,0,0,0,1,0,0,"0000010"
97889942,1,4,1,0,0,0,0,0,0,0,"1000000"
