"","band","sex","age","ch"
"661",98848875,4,1,"0000100"
"662",98848876,5,1,"0000100"
"663",98848877,5,1,"0000100"
"664",98848878,5,1,"0000100"
"665",98848879,5,1,"0000100"
"666",98848880,4,1,"0000100"
"667",98848881,4,1,"0000100"
"668",98848882,5,2,"0000100"
"669",98848883,4,1,"0000100"
"670",98848884,5,1,"0000110"
"671",98848885,4,1,"0000100"
"672",98848886,5,1,"0000100"
"673",98848887,5,1,"0000100"
"674",98848888,5,2,"0000100"
"675",98848889,5,2,"0000100"
"676",98848890,4,4,"0000100"
"677",98848891,5,1,"0000100"
"678",98848892,4,2,"0000100"
"679",98848893,4,1,"0000100"
"680",98848894,5,1,"0000100"
"681",98848895,4,1,"0000100"
"682",98848896,4,2,"0000100"
"683",98848897,5,4,"0000100"
"684",98848898,4,2,"0000100"
"685",98848899,4,1,"0000110"
"686",98848900,4,1,"0000100"
"687",98848901,4,2,"0001000"
"688",98848906,4,1,"1000000"
"689",98848913,5,1,"0000001"
"690",98848919,5,1,"0001000"
"691",98848929,5,1,"0000100"
"692",98848932,5,1,"0100000"
"693",98848957,5,2,"0010000"
"694",98848965,5,1,"0000001"
"695",98848969,5,1,"0001000"
"696",98848971,4,1,"1000000"
"697",98848972,4,1,"0000100"
"698",98848974,5,2,"0100000"
"699",98848982,4,1,"0000100"
"700",98848990,5,1,"0010000"
"701",98849016,5,4,"0000001"
"702",98849026,4,1,"0000001"
"703",98849032,4,1,"0000010"
"704",98849059,5,1,"0000001"
"705",98849061,4,1,"0100000"
"706",98849084,5,4,"1000000"
"707",98849134,4,1,"1000000"
"708",98849136,4,1,"0001000"
"709",98849137,5,1,"0010000"
"710",98849144,5,1,"0001000"
"711",98849145,4,1,"0000011"
"712",98849157,5,1,"0000100"
"713",98849163,5,1,"0010000"
"714",98849167,5,1,"0010000"
"715",98849168,4,1,"0100000"
"716",98849169,5,1,"0001000"
"717",98849176,4,1,"0100000"
"718",98849186,5,2,"0000100"
"719",98849187,5,1,"1000000"
"720",98849192,5,1,"0010000"
"721",98849197,5,1,"1000000"
"722",98849200,5,1,"0000100"
"723",98849203,5,1,"0000100"
"724",98849206,5,1,"1000000"
"725",98849207,4,1,"0000100"
"726",98849209,4,1,"0100000"
"727",98849212,4,1,"1000000"
"728",98849216,4,1,"0010000"
"729",98849230,4,2,"0100000"
"730",98849237,4,2,"0100000"
"731",98849246,4,1,"0010000"
"732",98849250,4,1,"0010000"
"733",98849251,4,2,"0000001"
"734",98849254,4,1,"1000000"
"735",98849263,5,1,"0001000"
"736",98849264,4,1,"0001000"
"737",98849266,4,1,"1000000"
"738",98849280,5,1,"1000000"
"739",98849301,5,1,"0010000"
"740",98849309,5,1,"0001000"
"741",98849319,4,1,"1000000"
"742",98849333,4,1,"1000000"
"743",98849334,5,1,"1000000"
"744",98849337,4,1,"0100000"
"745",98849340,5,1,"0010000"
"746",98849350,4,1,"0001000"
"747",98849351,5,1,"1000000"
"748",98849354,5,1,"0001000"
"749",98849356,4,1,"0100000"
"750",98849369,5,1,"0100000"
"751",98849370,4,1,"0100000"
"752",98849383,5,1,"0010000"
"753",98849385,4,1,"0100000"
"754",98849387,4,1,"0100000"
"755",98849397,4,1,"0100000"
"756",98849401,5,1,"1010000"
"757",98849402,4,1,"1000000"
"758",98849403,4,1,"1000000"
"759",98849404,4,1,"1000000"
"760",98849405,4,1,"1000000"
"761",98849406,4,1,"1000000"
"762",98849407,4,1,"1000000"
"763",98849408,5,1,"1000000"
"764",98849409,5,1,"1000000"
"765",98849410,4,1,"1000000"
"766",98849411,4,1,"1000000"
"767",98849412,5,1,"1000000"
"768",98849413,5,1,"1000000"
"769",98849414,4,1,"1000000"
"770",98849415,5,1,"1000000"
"771",98849416,4,1,"1000000"
"772",98849417,4,1,"1010000"
"773",98849418,5,1,"1000000"
"774",98849419,5,1,"1000000"
"775",98849420,4,1,"1000000"
"776",98849421,4,1,"1000000"
"777",98849422,4,1,"1000000"
"778",98849423,5,1,"1000000"
"779",98849424,5,1,"1000000"
"780",98849425,4,1,"1000000"
"781",98849426,5,1,"1000000"
"782",98849427,4,1,"1000000"
"783",98849428,5,1,"1000000"
