band_id,disposition,spp,age,sex,month,day,year,status
113831458,1,CAGO,AHY,M,6,27,2011,300
113831461,1,CAGO,AHY,M,6,27,2011,300
113831463,1,CAGO,AHY,F,6,27,2011,300
113831466,1,CAGO,AHY,M,6,27,2011,300
113831471,1,CAGO,AHY,F,6,27,2011,300
113831472,1,CAGO,AHY,F,6,27,2011,300
113831475,1,CAGO,AHY,M,6,27,2011,300
113831476,1,CAGO,AHY,F,6,27,2011,300
113831477,1,CAGO,AHY,F,6,27,2011,300
113831478,1,CAGO,AHY,F,6,27,2011,300
113831479,1,CAGO,AHY,F,6,27,2011,300
113831481,1,CAGO,AHY,F,6,27,2011,300
