B AGE CODE,B AREA CODE,B BAND SIZE CODE,B BAND STATUS CODE,B BAND TYPE CODE,B BIRD STATUS,B COMMENTS,B COORD PRECISION,B DIRECTION CODE,B EXTRA INFO CODE,B FLYWAY CODE,B HOW AGED CODE,B HOW CAPTURED,B HOW SEXED CODE,B LAT,B LAT FLOAT,B LON,B LON FLOAT,B MARKER LONG DESC,B PERMIT NUM,B REMARKS,B SEX CODE,B SPECIES ID,B SPECIES NAME,BAND ID,BANDING DATE,BANDING DAY,BANDING MONTH,BANDING YEAR,BEARING,DISTANCE,E AREA CODE,E CAPTURE TIME,E CERTIFICATE FLAG,E CERTIFICATE LANGUAGE,E COMMENTS,E COORD PRECISION,E COUNTRY CODE,E COUNTY CODE,E CREATE DATE,E CREATE MONTH,E CREATE YEAR,E DIRECTION CODE,E ENC COUNTY ORIGINAL,E FLYWAY CODE,E HOW CAPTURED,E HOW OBTAINED CODE,E LAT,E LAT FLOAT,E LOCATION DESCRIPTION,E LOCATION ID,E LON,E LON FLOAT,E MARKER LONG DESC,E PLACE NAME,E PRESENT CONDITION CODE,E REMARKS,E SPECIES ID,E SPECIES NAME,E STATE CODE,E WHO OBTAINED CODE,E WHY REPORTED CODE,ENC PERMIT,ENCOUNTER DATE,ENCOUNTER DAY,ENCOUNTER MONTH,ENCOUNTER YEAR,HSS,MIN AGE AT ENC,ORIGINAL BAND,OTHER BANDS,SAME 10 MIN BLOCK,REC_SOURCE,ENC ERROR
2,7,8,0,11,2,,10,0,9,2,,,,350,35.08333,930,-93.08333,,6228,,5,1720,Canada Goose,57895019,11/9/1965,9,11,1965,,0,7,,9,E,B#00000; create date from C#0766,10,US,0,7/31/1966,7,1966,0,,2,,10,350,35.08333,,,930,-93.08333,<CLOB>,,5,,,,5,22,1,,2/23/1966,23,2,1966,1,0.67,57895019,,Y,DB,
2,7,8,0,11,2,,10,0,9,2,,,,350,35.08333,930,-93.08333,,6228,,5,1720,Canada Goose,57895070,11/9/1965,9,11,1965,,0,7,,9,E,B#00000; create date from C#0566,10,US,0,5/31/1966,5,1966,0,,2,,10,350,35.08333,,,930,-93.08333,<CLOB>,,4,,,,5,22,1,,1/12/1966,12,1,1966,1,0.58,57895070,,Y,DB,
2,7,8,0,11,2,,10,0,9,2,,,,350,35.08333,930,-93.08333,,6228,,4,1720,Canada Goose,57895179,11/9/1965,9,11,1965,SE,127.3,7,,9,E,B#20781; create date from C#0476,10,US,0,4/22/1976,4,1976,0,,2,,66,341,34.25,,,910,-91.08333,<CLOB>,,7,,,,5,22,1,,1/22/1976,22,1,1976,11,10.58,57895179,,N,DB,
2,7,8,0,11,2,,10,0,9,2,,,,350,35.08333,930,-93.08333,,6228,,4,1720,Canada Goose,57895180,11/9/1965,9,11,1965,,0,7,,9,E,B#00000; create date from C#0366,10,US,0,3/31/1966,3,1966,0,,2,,0,350,35.08333,,,930,-93.08333,<CLOB>,,5,,,,5,21,1,,12/20/1965,20,12,1965,1,0.5,57895180,,Y,DB,
2,7,8,0,11,2,,10,0,9,2,,,,341,34.25,910,-91.08333,,6228,,5,1720,Canada Goose,57892944,10/29/1965,29,10,1965,NE,59.6,7,,9,E,B#00000; create date from C#0766,10,US,0,7/31/1966,7,1966,0,,2,,1,345,34.91667,,,902,-90.41667,<CLOB>,,3,,,,5,21,1,,12/4/1965,4,12,1965,1,0.5,57892944,,N,DB,
2,7,8,0,11,2,,10,0,9,2,,,,350,35.08333,930,-93.08333,,6228,,5,1720,Canada Goose,57893555,11/2/1965,2,11,1965,,0,7,,9,E,B#00000; create date from C#0667,10,US,0,8/7/1967,8,1967,0,,2,,66,350,35.08333,,,930,-93.08333,<CLOB>,,7,,,,5,22,1,,3/9/1967,9,3,1967,2,1.75,57893555,,Y,DB,
1,52,8,0,11,3,,10,0,0,2,,,,393,39.58333,931,-93.25,,6228,,5,1720,Canada Goose,57891368,10/14/1965,14,10,1965,S,346.1,7,,9,E,B#06883; create date from C#0471,10,US,0,4/30/1971,4,1971,0,,2,,1,344,34.75,,,913,-91.58333,<CLOB>,,3,,,,5,21,1,,12/20/1970,20,12,1970,6,6.5,57891368,,N,DB,
2,7,8,0,11,2,,10,0,10,2,,,,341,34.25,910,-91.08333,,6228,,5,1720,Canada Goose,57893815,11/5/1965,5,11,1965,NW,14.9,7,,9,E,B#00000; create date from C#0366,10,US,0,3/31/1966,3,1966,0,,2,,0,342,34.41667,,,911,-91.25,<CLOB>,,5,,,,5,22,1,,11/26/1965,26,11,1965,1,0.42,57893815,,N,DB,
2,7,8,0,11,2,,10,0,10,2,,,,341,34.25,910,-91.08333,,6228,,4,1720,Canada Goose,57893909,11/5/1965,5,11,1965,,0,7,,9,E,B#00000; create date from C#0566,10,US,0,5/31/1966,5,1966,0,,2,,0,341,34.25,,,910,-91.08333,<CLOB>,,5,,,,5,22,1,,1/2/1966,2,1,1966,1,0.58,57893909,,Y,DB,
2,52,8,0,11,3,,10,0,0,2,,,,393,39.58333,931,-93.25,,6228,,5,1720,Canada Goose,57884335,10/4/1966,4,10,1966,S,341.7,7,,9,E,B#27508; C#4383,10,US,0,10/28/1983,10,1983,0,,2,,1,344,34.75,,,915,-91.91667,<CLOB>,,5,,,,5,21,1,,,70,6,1983,99,,57884335,,N,DB,
